LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,40.691831206401545,-74.17400027276305
2,Queens,Jamaica Bay,Boro Zone,40.616745291659825,-73.83129854302207
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.864473684775454,-73.84742223236715
4,Manhattan,Alphabet City,Yellow Zone,40.7237521415848,-73.97696825691766
5,Staten Island,Arden Heights,Boro Zone,40.552659286945634,-74.18848410184923
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.60032414603461,-74.0717705589513
7,Queens,Astoria,Boro Zone,40.76149256216373,-73.9196943194606
8,Queens,Astoria Park,Boro Zone,40.77855865375073,-73.92308615750753
9,Queens,Auburndale,Boro Zone,40.75103502557229,-73.7879488777789
10,Queens,Baisley Park,Boro Zone,40.678953310115254,-73.79098635986959
11,Brooklyn,Bath Beach,Boro Zone,40.604272840030774,-74.00748815801177
12,Manhattan,Battery Park,Yellow Zone,40.7029458349847,-74.01556351255897
13,Manhattan,Battery Park City,Yellow Zone,40.71203815707448,-74.01607915192926
14,Brooklyn,Bay Ridge,Boro Zone,40.624834923608205,-74.02989237418788
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.78333304726096,-73.78597227877705
16,Queens,Bayside,Boro Zone,40.76273837544242,-73.77342181890134
17,Brooklyn,Bedford,Boro Zone,40.69150749488065,-73.94990503507508
18,Bronx,Bedford Park,Boro Zone,40.867682456075414,-73.89018328872034
19,Queens,Bellerose,Boro Zone,40.735486779763384,-73.72665537528711
20,Bronx,Belmont,Boro Zone,40.857779675441584,-73.88586748106962
21,Brooklyn,Bensonhurst East,Boro Zone,40.601429439835165,-73.98353709672233
22,Brooklyn,Bensonhurst West,Boro Zone,40.612218257805615,-73.99525857986231
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.60644770102755,-74.17088688155255
24,Manhattan,Bloomingdale,Yellow Zone,40.80197049389964,-73.96547951516968
25,Brooklyn,Boerum Hill,Boro Zone,40.685633741320636,-73.98611382213663
26,Brooklyn,Borough Park,Boro Zone,40.63094965524548,-73.98866123078288
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.55913327946765,-73.90690832237597
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.71159635794509,-73.80872901637518
29,Brooklyn,Brighton Beach,Boro Zone,40.580921971933805,-73.96121676866852
30,Queens,Broad Channel,Boro Zone,40.60368744213567,-73.82192695679416
31,Bronx,Bronx Park,Boro Zone,40.8577466809159,-73.87547595053037
32,Bronx,Bronxdale,Boro Zone,40.86400220602363,-73.8649009987672
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69579822121126,-73.99525011996623
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.70085573851714,-73.97118869233036
35,Brooklyn,Brownsville,Boro Zone,40.664003117925986,-73.91025783136135
36,Brooklyn,Bushwick North,Boro Zone,40.700522199519206,-73.91771053131579
37,Brooklyn,Bushwick South,Boro Zone,40.69499431844212,-73.92224002165725
38,Queens,Cambria Heights,Boro Zone,40.69434146723171,-73.73555427058822
39,Brooklyn,Canarsie,Boro Zone,40.63803713911706,-73.8997349566939
40,Brooklyn,Carroll Gardens,Boro Zone,40.679199014097094,-73.99595619089148
41,Manhattan,Central Harlem,Boro Zone,40.80433394979461,-73.95129200243511
42,Manhattan,Central Harlem North,Boro Zone,40.818257861119235,-73.94077166756264
43,Manhattan,Central Park,Yellow Zone,40.78247809974789,-73.96555356545916
44,Staten Island,Charleston/Tottenville,Boro Zone,40.525494581763816,-74.23353354937652
45,Manhattan,Chinatown,Yellow Zone,40.71245931177948,-73.99815149899047
46,Bronx,City Island,Boro Zone,40.84908594313967,-73.78198714613217
47,Bronx,Claremont/Bathgate,Boro Zone,40.842749176098025,-73.90031590586486
48,Manhattan,Clinton East,Yellow Zone,40.762252755319366,-73.98984464313301
49,Brooklyn,Clinton Hill,Boro Zone,40.687967457147465,-73.9623635381836
50,Manhattan,Clinton West,Yellow Zone,40.76623772504186,-73.99513522075517
51,Bronx,Co-Op City,Boro Zone,40.87397305492024,-73.82826367307186
52,Brooklyn,Cobble Hill,Boro Zone,40.68665124165605,-73.99672403175194
53,Queens,College Point,Boro Zone,40.780912355791266,-73.84281349543204
54,Brooklyn,Columbia Street,Boro Zone,40.68720074733727,-74.00291127745284
55,Brooklyn,Coney Island,Boro Zone,40.57696075363783,-73.98794343407197
56,Queens,Corona,Boro Zone,40.74140677482976,-73.85884524943998
56,Queens,Corona,Boro Zone,40.751819366999456,-73.85358156034266
57,Queens,Corona,Boro Zone,,
58,Bronx,Country Club,Boro Zone,40.84145210068253,-73.82039319252786
59,Bronx,Crotona Park,Boro Zone,40.83855028852789,-73.89498588493974
60,Bronx,Crotona Park East,Boro Zone,40.83399047727385,-73.88590003419152
61,Brooklyn,Crown Heights North,Boro Zone,40.674469418266476,-73.93928705867957
62,Brooklyn,Crown Heights South,Boro Zone,40.66654040578564,-73.94878853931499
63,Brooklyn,Cypress Hills,Boro Zone,40.68383976195103,-73.87817261050249
64,Queens,Douglaston,Boro Zone,40.76061560532155,-73.73933714992869
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.695337529461135,-73.98608600498395
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.7022589388225,-73.98570161582288
67,Brooklyn,Dyker Heights,Boro Zone,40.619619467835136,-74.01380148744008
68,Manhattan,East Chelsea,Yellow Zone,40.74842755506572,-73.99991742024712
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.831416697085196,-73.91502929553268
70,Queens,East Elmhurst,Boro Zone,40.763352201133145,-73.86839559842018
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.64428817438921,-73.93796627061694
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.65236480407742,-73.92225097400495
73,Queens,East Flushing,Boro Zone,40.75410888689297,-73.80729418212229
74,Manhattan,East Harlem North,Boro Zone,40.801169480586516,-73.93734560812497
75,Manhattan,East Harlem South,Boro Zone,40.79001075149546,-73.94575026755157
76,Brooklyn,East New York,Boro Zone,40.660935196550525,-73.87682061127191
